ds,Milk,Chips,Toothpaste,Honey
2020-01-01,22.438092208840505,23.558242205772803,43.83709111659236,22.83339910056344
2020-01-02,22.055602245411226,23.628665197005393,43.546211186676786,23.362544684770903
2020-01-03,22.99234108913229,24.28610755295323,43.41851674438934,22.76364398704774
2020-01-04,22.474473008755368,23.736006835239998,43.48840685346977,23.21064708030783
2020-01-05,22.805958736846474,24.192602034439606,43.35335632948971,22.36571329426054
2020-01-06,22.574861275102933,23.212224672934422,44.32057728510621,22.325416748941144
2020-01-07,22.756508752258153,23.66625554997686,43.99025817244898,23.469172055906093
2020-01-08,22.939773951008156,23.435325553113696,44.61953918291035,22.96798628668204
2020-01-09,22.567396349225458,23.411671501856894,44.464105936123545,23.501456819402794
2020-01-10,23.505849163530065,23.982799340450622,44.458217895508184,22.90144163447608
2020-01-11,22.980927909749546,23.356023669243996,44.63345732757365,23.34192399866699
2020-01-12,23.29645096547831,23.747194229757334,44.58484381310425,22.485254025696612
2020-01-13,23.04057646362927,22.71394816996364,45.617563263119514,22.428351201075248
2020-01-14,23.188969109847598,23.12863630634102,45.330263902103766,23.551122510813578
2020-01-15,23.33107631367652,22.872502599241017,45.97907639735362,23.02520242762046
2020-01-16,22.910439481112306,22.838028344556236,45.81923870495493,23.530934650980544
2020-01-17,23.794543188874954,23.41259366553993,45.78514107016214,22.90102258269596
2020-01-18,23.210379211433054,22.803025284491177,45.909076393236205,23.310371002177455
2020-01-19,23.46311655362978,23.224340903596392,45.78734077688175,22.42230205526407
2020-01-20,23.14238267712164,22.23302846808113,46.72693344013605,22.334730352955642
2020-01-21,23.225390538999864,22.70000772426908,46.32880911360958,23.428552592403303
2020-01-22,23.30317199336624,22.504852257225192,46.85184115401553,22.876358767971727
2020-01-23,22.820844664827032,22.538182281629247,46.55437738743693,23.359385701581722
2020-01-24,23.647416337508623,23.185379377915385,46.37420590099374,22.71114070124557
2020-01-25,23.011305175890122,22.65119063947995,46.34721807143388,23.107218609518267
2020-01-26,23.218968256016645,23.148530967097063,46.073415964221915,22.211496099816404
2020-01-27,22.861144861055898,22.231820157257957,46.86351578203219,22.12228868552406
2020-01-28,22.91595032626897,22.77000058324064,46.322103080112285,23.220726426728525
2020-01-29,22.975082015666484,22.640812098477234,46.71150062534329,22.679455861139946
2020-01-30,22.48406540349299,22.733232983196018,46.29323351039942,23.17958921889136
2020-01-31,23.312044974144534,23.43123681736132,46.00791123477196,22.554328920821717
2020-02-01,22.687298710875872,22.93843161643507,45.89381635344886,22.97879066635105
2020-02-02,22.915868875763575,23.46688904845574,45.55284889365837,22.11620886331225
2020-02-03,22.587815520459046,22.570499697923037,46.29707998106115,22.06410961098358
2020-02-04,22.680328259645513,23.117999748726668,45.73187180059975,23.202706824520405
2020-02-05,22.783957404140573,22.987245554757408,46.11972578049723,22.703628497993552
2020-02-06,22.342891723251338,23.067645026891284,45.721744196839985,23.2468935169944
2020-02-07,23.224786648341322,23.743896091015955,45.477525052486904,22.66456626990115
2020-02-08,22.656320615077604,23.220599177221963,45.42377952333723,23.130611531905693
2020-02-09,22.941871034087903,23.711052414360545,45.160320421766755,22.307132483753357
2020-02-10,22.669815013310945,22.77056655746185,45.99667394443528,22.290576152404682
2020-02-11,22.815688983253573,23.269446256406717,45.535270263097544,23.460160930599386
2020-02-12,22.968466918598743,23.087215507990337,46.035372930547936,22.986632260188873
2020-02-13,22.570883041184835,23.114997690144165,45.75463008498031,23.549266023776184
2020-02-14,23.48930149266404,23.73920195635346,45.62906485572368,22.979546098024112
2020-02-15,22.94930945131826,23.16608448244218,45.69179164332117,23.45103784141398
2020-02-16,23.25442409727669,23.61049473566821,45.53910400729242,22.625639792647913
2020-02-17,22.992417634476897,22.629145209985456,46.47718369101323,22.599797414610748
2020-02-18,23.138493803821948,23.09355253156255,46.105383659825826,23.752933236307246
