ds,Milk,Toothpaste
2024-05-19,21.844530647016732,45.06064155188553
2024-05-20,21.48513971981868,45.88945403003663
2024-05-21,21.55554883582128,45.40167319509404
2024-05-22,21.646687159008405,45.85802204125139
2024-05-23,21.20297128881516,45.51818527685218
2024-05-24,22.092123802819465,45.32072410729251
2024-05-25,21.54072342877123,45.30170333739891
2024-05-26,21.85287862106513,45.06067928509636
2024-05-27,21.616529858039854,45.90730107461377
2024-05-28,21.80661490378451,45.44448141435444
2024-05-29,22.011356713689203,45.93229760464512
2024-05-30,21.67259974494407,45.6295067330877
2024-05-31,22.65569692657198,45.47349360676105
2024-06-01,22.1851234231038,45.498939378695155
2024-06-02,22.563207155086104,45.30385798787135
2024-06-03,22.376479752125576,46.19625139127288
2024-06-04,22.598880760807326,45.777337936544384
2024-06-05,22.818073626962708,46.305512751574334
2024-06-06,22.47579835044214,46.03792218602531
2024-06-07,23.437762527564107,45.91046893699573
2024-06-08,22.929246716975108,45.95653396456488
2024-06-09,23.25381424334951,45.77306058718258
2024-06-10,22.999629613167787,46.66725018227317
2024-06-11,23.14261919922355,46.23982251166443
2024-06-12,23.27273386168913,46.74899848434051
2024-06-13,22.834239835912747,46.45208662622151
2024-06-14,23.695541278634543,46.285489445971365
2024-06-15,23.084712283434747,46.28341569572237
2024-06-16,23.30813050131374,46.043944149859016
2024-06-17,22.95671865201669,46.87568889390831
